screen_name	user_id	tweet_count	story_count	stories_comma_separated
LeroyLovesUSA	2572058134	19	15	323802689,6831193826,4091283718,3681215884,781754897,3901218867,8281346356,2801223509,7641344150,7811248759,5581300504,186854649,1121341533,9031282968,3771181567
TodayCincinnati	2577082467	18	15	9101351936,7661019947,325341412,487991499,548976621,147909124,518978191,357578800,105648945,294340722,3971115987,5381054553,174638191,8231029693,1411412734
TodayMiami	2944944427	16	15	994672192,8211121472,2931333218,268384732,5651330329,942494604,186981519,3671289681,7621073779,439474398,7791112153,5251089401,721310428,4601030579,432493310
cassishere	1629828379	19	14	2931333218,9211343643,8021262180,6451159943,760804540,5151157930,781754897,5731267571,186854649,9171164536,5651330329,4131163483,3911263100,3771181567
LauraBaeley	1658202894	26	14	1101160992,5111266657,227434242,635471587,8021262180,323528839,5151157930,860874539,781754897,875529390,472472177,8281346356,4881270967,3911263100
JavonHIDP	1670149272	18	14	9511162912,3901218867,6781268418,190816579,474789348,9871042182,679877895,3791275633,5731267571,8381225301,4881270967,3031279483,5131239230,3771181567
NewarkVoice	3091936475	14	14	269825728,8211121472,2941038179,474789348,2181068406,9871042182,4291010951,487991499,548976621,147909124,435861364,5331020918,7791112153,4471091166
BlackToLive	4840551713	18	13	9511162912,4421125761,6781268418,9871042182,2981334694,4881270967,7171400497,8251190546,3491139254,4231198553,5651330329,6031130807,3061364447
KateRitterrrr	1661246144	18	13	7311276930,635471587,2471216903,760804540,227434242,472472177,685817619,781754897,4881270967,2531236600,186854649,4131163483,6331166364
WarfareWW	2484642526	25	13	132691560,320640969,535631531,479597934,357578800,991629425,477599573,414602265,366952536,878598393,687628922,507619261,114695903
rightnpr	4311371968	18	13	2101059873,3571040642,9871042182,948869863,4251092648,7651063785,5151157930,4831057579,7781170412,7621073779,323802689,4131163483,9521177854
JeffreyKahunas	1623180199	13	12	9101351936,653841923,8021262180,293833193,3681215884,8281346356,2801223509,4881270967,448939770,4131163483,3911263100,5131239230
CarrieThornthon	1647045721	13	12	227434242,8021262180,9491237221,6611196295,5251195721,6481194123,8251190546,5731267571,354908276,5191199769,3911263100,3771181567
AlecMooooody	1652987412	12	12	6501369152,190816579,4091283718,5601309129,6611310995,2461182702,8781153712,4071205491,7811248759,9031282968,2181064542,3771181567
Crystal1Johnson	4437233895	21	12	9691358304,7911363649,9251362850,190816579,9871042182,9841185677,241998351,746974770,6611310995,7621073779,523822204,488830365
GarrettSimpson_	1660771422	22	12	635471587,242805349,781754897,671575624,6481194123,472472177,8281346356,7641344150,2001329271,3771181567,9521177854,8091298917
EmileeWaren	1676481360	17	12	6411226434,2981334694,3301307335,781754897,9151345423,460819792,2901228881,8281346356,256671348,1501232634,2231340574,3771181567
J0hnLarsen	1685718216	16	12	2931333218,9491237221,781754897,443367964,227434242,9151345423,3791275633,8281346356,7641344150,5581300504,5651330329,368669340
wadeharriot	2491081213	13	12	9101351936,9491237221,4411141645,910913296,8281346356,7641344150,2531236600,805815860,7561244475,593492412,8701316574,3771181567
Mil0Blake	3084360275	18	12	9101351936,5111266657,242805349,644593574,323528839,875529390,781754897,256671348,961964277,186854649,593492412,681814133
_NickLuna_	1649967228	17	11	7911363649,9251362850,653841923,6081285418,781754897,8281346356,354908276,448939770,760804540,8701316574,3771181567
deusXYX	1669574551	14	11	635471587,5081132518,323528839,2541291786,781754897,875529390,460819792,472472177,8281346356,579832822,805815860
DatWiseNigga	1684524144	13	11	163984321,527932195,9871042182,679877895,4251092648,8251190546,739465939,5331020918,4881270967,8231029693,4471091166
EvaGreen69	2533653547	22	11	6811271489,5081132518,2541291786,4881270967,460819792,781754897,8281346356,7641344150,469907255,5581300504,485905725
Jeblary2016	4299815909	25	11	958842434,474789348,366800199,679877895,804985321,4831057579,276898639,7991119764,5261047413,956882521,773807903
DonnieLMiller	2537357265	11	11	6781268418,579566724,5601309129,482567276,205301584,3791275633,6611310995,470565783,254300507,756303805,6281104543
MalloryJared	1659549972	11	10	269825728,163984321,6411226434,190816579,9871042182,782947185,2901228881,739465939,4471091166,773807903
GiselleEvns	2882013788	12	10	1101160992,4421125761,6781268418,614391652,1631150567,4251092648,565834796,2781152559,9471197686,9521177854
ImaSwerve	1654695517	12	10	163984321,190816579,4251092648,7651063785,746974770,8281346356,4881270967,277918876,4471091166,3771181567
ElPasoTopNews	2537507303	10	10	8071420930,1321379235,2581297669,2961082248,9541075402,942494604,5291035893,5251089401,840897785,476849482
RobbyDelaware	18710816	11	9	812639426,132691560,6921026602,171704370,3901218867,477599573,878598393,304923861,681814133
NoJonathonNo	1518857420	10	9	7311276930,190816579,8021262180,4831057579,3571278805,3651214687,3911263100,5131239230,8381225301
PrettyLaraPlace	1533813962	11	9	2011273120,5111266657,7311276930,635471587,2541291786,9151345423,472472177,469907255,485905725
JassScott	1627096807	11	9	6811271489,3031279483,9871042182,679877895,9151345423,4881270967,936813403,8501184157,5131239230
BaoBaeHam	1658420976	10	9	190816579,4251092648,3941207982,6481127759,782947185,8281280409,936813403,523822204,4471091166
ErRivvvvers	1662453998	10	9	190816579,2441041776,782947185,6141308958,5331020918,4881270967,277918876,8231029693,4471091166
StanleyParris	1685771767	10	9	190816579,2181027300,8781153712,781754897,5131239230,523822204,8231029693,2181064542,3771181567
MichelleArry	1690487623	13	9	227434242,323528839,862484168,903482210,875529390,8281346356,8921361878,805815860,639546907
OnlineMemphis	2570017414	9	9	131443168,456437157,942494604,485436494,5051269393,190473146,684890843,129435454,2581297669
RealRobert1987	2579342751	12	9	5831261923,8021262180,835557702,323528839,875529390,781754897,8281346356,9031282968,3911263100
queenofthewo	2584152521	13	9	579566724,9911201671,4881270967,482567276,205301584,470565783,254300507,756303805,9521177854
AmandaVGreen	2616344667	16	9	614391652,9911201671,323528839,875529390,205301584,4881270967,254300507,756303805,2851245311
DanaGeezus	2882037326	10	9	1101160992,4421125761,6781268418,2941038179,614391652,3491122503,330924137,593492412,2181064542
